Epoch: [7][260/329], lr: 0.00010	Time 0.172 (0.256)	Data 0.000 (0.075)	Loss 1.5131 (1.3301)	Prec@1 60.000 (46.590)	Prec@5 100.000 (93.257)
Epoch: [7][280/329], lr: 0.00010	Time 0.176 (0.251)	Data 0.000 (0.070)	Loss 0.8215 (1.3166)	Prec@1 60.000 (47.189)	Prec@5 100.000 (93.523)
Epoch: [7][300/329], lr: 0.00010	Time 0.182 (0.246)	Data 0.000 (0.065)	Loss 1.4033 (1.3254)	Prec@1 40.000 (46.844)	Prec@5 100.000 (93.621)
Epoch: [7][320/329], lr: 0.00010	Time 0.184 (0.242)	Data 0.000 (0.061)	Loss 1.1037 (1.3226)	Prec@1 60.000 (47.227)	Prec@5 100.000 (93.707)
Epoch: [8][0/329], lr: 0.00010	Time 19.703 (19.703)	Data 19.427 (19.427)	Loss 1.7626 (1.7626)	Prec@1 40.000 (40.000)	Prec@5 100.000 (100.000)
Epoch: [8][20/329], lr: 0.00010	Time 0.184 (1.110)	Data 0.000 (0.925)	Loss 1.2646 (1.2853)	Prec@1 60.000 (48.571)	Prec@5 100.000 (95.238)
Epoch: [8][40/329], lr: 0.00010	Time 0.184 (0.656)	Data 0.000 (0.474)	Loss 1.6326 (1.2661)	Prec@1 20.000 (48.780)	Prec@5 100.000 (94.634)
Epoch: [8][60/329], lr: 0.00010	Time 0.176 (0.499)	Data 0.000 (0.319)	Loss 1.4736 (1.3358)	Prec@1 20.000 (46.885)	Prec@5 80.000 (93.443)
Epoch: [8][80/329], lr: 0.00010	Time 0.184 (0.420)	Data 0.000 (0.240)	Loss 0.7578 (1.3419)	Prec@1 40.000 (47.407)	Prec@5 100.000 (92.346)
Epoch: [8][100/329], lr: 0.00010	Time 0.173 (0.373)	Data 0.000 (0.192)	Loss 2.4275 (1.3577)	Prec@1 0.000 (46.139)	Prec@5 60.000 (92.079)
Epoch: [8][120/329], lr: 0.00010	Time 0.184 (0.341)	Data 0.000 (0.161)	Loss 1.7693 (1.3686)	Prec@1 80.000 (46.612)	Prec@5 80.000 (92.562)
Epoch: [8][140/329], lr: 0.00010	Time 0.180 (0.318)	Data 0.000 (0.138)	Loss 2.3825 (1.3423)	Prec@1 0.000 (47.801)	Prec@5 80.000 (92.482)
