Epoch: [3][60/770], lr: 0.00010	Time 0.220 (0.539)	Data 0.000 (0.315)	Loss 0.7295 (1.5370)	Prec@1 50.000 (33.607)	Prec@5 100.000 (94.262)
Epoch: [3][80/770], lr: 0.00010	Time 0.221 (0.460)	Data 0.000 (0.237)	Loss 2.1403 (1.5000)	Prec@1 0.000 (36.420)	Prec@5 100.000 (93.827)
Epoch: [3][100/770], lr: 0.00010	Time 0.222 (0.413)	Data 0.000 (0.190)	Loss 2.2210 (1.4823)	Prec@1 0.000 (38.119)	Prec@5 100.000 (94.059)
Epoch: [3][120/770], lr: 0.00010	Time 0.222 (0.381)	Data 0.000 (0.159)	Loss 2.4338 (1.4600)	Prec@1 0.000 (40.496)	Prec@5 50.000 (92.562)
Epoch: [3][140/770], lr: 0.00010	Time 0.224 (0.358)	Data 0.000 (0.136)	Loss 0.9585 (1.4622)	Prec@1 50.000 (40.426)	Prec@5 100.000 (92.553)
Epoch: [3][160/770], lr: 0.00010	Time 0.223 (0.341)	Data 0.000 (0.119)	Loss 2.6812 (1.4874)	Prec@1 0.000 (40.062)	Prec@5 50.000 (91.615)
Epoch: [3][180/770], lr: 0.00010	Time 0.222 (0.328)	Data 0.000 (0.106)	Loss 1.1729 (1.4950)	Prec@1 50.000 (39.779)	Prec@5 100.000 (91.713)
Epoch: [3][200/770], lr: 0.00010	Time 0.222 (0.317)	Data 0.000 (0.096)	Loss 0.4927 (1.4820)	Prec@1 100.000 (40.050)	Prec@5 100.000 (92.040)
Epoch: [3][220/770], lr: 0.00010	Time 0.222 (0.309)	Data 0.000 (0.087)	Loss 2.1645 (1.4695)	Prec@1 0.000 (40.271)	Prec@5 50.000 (92.308)
Epoch: [3][240/770], lr: 0.00010	Time 0.223 (0.301)	Data 0.000 (0.080)	Loss 0.6649 (1.4469)	Prec@1 100.000 (41.079)	Prec@5 100.000 (92.531)
Epoch: [3][260/770], lr: 0.00010	Time 0.222 (0.295)	Data 0.000 (0.074)	Loss 0.8088 (1.4685)	Prec@1 50.000 (40.613)	Prec@5 100.000 (92.146)
Epoch: [3][280/770], lr: 0.00010	Time 0.224 (0.290)	Data 0.000 (0.068)	Loss 2.0035 (1.4714)	Prec@1 0.000 (39.858)	Prec@5 100.000 (92.171)
Epoch: [3][300/770], lr: 0.00010	Time 0.222 (0.285)	Data 0.000 (0.064)	Loss 0.8980 (1.4662)	Prec@1 50.000 (40.199)	Prec@5 100.000 (92.193)
Epoch: [3][320/770], lr: 0.00010	Time 0.222 (0.281)	Data 0.000 (0.060)	Loss 3.3097 (1.4521)	Prec@1 0.000 (40.031)	Prec@5 100.000 (92.368)
Epoch: [3][340/770], lr: 0.00010	Time 0.221 (0.278)	Data 0.000 (0.056)	Loss 1.8959 (1.4484)	Prec@1 0.000 (40.469)	Prec@5 100.000 (92.229)
Epoch: [3][360/770], lr: 0.00010	Time 0.219 (0.275)	Data 0.000 (0.053)	Loss 0.5082 (1.4533)	Prec@1 50.000 (40.166)	Prec@5 100.000 (92.105)
Epoch: [3][380/770], lr: 0.00010	Time 0.221 (0.272)	Data 0.000 (0.050)	Loss 1.4918 (1.4489)	Prec@1 0.000 (40.289)	Prec@5 100.000 (92.257)
Epoch: [3][400/770], lr: 0.00010	Time 0.232 (0.269)	Data 0.000 (0.048)	Loss 0.8614 (1.4583)	Prec@1 100.000 (40.150)	Prec@5 100.000 (92.145)
Epoch: [3][420/770], lr: 0.00010	Time 0.220 (0.267)	Data 0.000 (0.046)	Loss 2.8741 (1.4671)	Prec@1 0.000 (40.261)	Prec@5 100.000 (92.043)
Epoch: [3][440/770], lr: 0.00010	Time 0.230 (0.265)	Data 0.000 (0.044)	Loss 2.2535 (1.4727)	Prec@1 0.000 (40.703)	Prec@5 100.000 (92.177)
Epoch: [3][460/770], lr: 0.00010	Time 0.221 (0.263)	Data 0.000 (0.042)	Loss 1.7231 (1.4717)	Prec@1 0.000 (41.106)	Prec@5 100.000 (91.866)
Epoch: [3][480/770], lr: 0.00010	Time 0.221 (0.261)	Data 0.000 (0.040)	Loss 0.2836 (1.4636)	Prec@1 100.000 (41.476)	Prec@5 100.000 (91.996)
Epoch: [3][500/770], lr: 0.00010	Time 0.222 (0.260)	Data 0.000 (0.038)	Loss 1.9604 (1.4609)	Prec@1 0.000 (41.816)	Prec@5 50.000 (91.816)
