Epoch: [6][140/308], lr: 0.00010	Time 0.438 (0.577)	Data 0.000 (0.135)	Loss 1.8788 (1.3502)	Prec@1 40.000 (45.957)	Prec@5 80.000 (92.624)
Epoch: [6][160/308], lr: 0.00010	Time 0.438 (0.560)	Data 0.000 (0.118)	Loss 1.7491 (1.3617)	Prec@1 20.000 (44.472)	Prec@5 80.000 (92.795)
Epoch: [6][180/308], lr: 0.00010	Time 0.438 (0.547)	Data 0.000 (0.105)	Loss 1.7776 (1.3532)	Prec@1 0.000 (44.862)	Prec@5 100.000 (92.707)
Epoch: [6][200/308], lr: 0.00010	Time 0.437 (0.537)	Data 0.000 (0.095)	Loss 0.9852 (1.3642)	Prec@1 40.000 (44.975)	Prec@5 100.000 (92.736)
Epoch: [6][220/308], lr: 0.00010	Time 0.438 (0.528)	Data 0.000 (0.086)	Loss 1.5654 (1.3508)	Prec@1 20.000 (45.611)	Prec@5 100.000 (93.213)
Epoch: [6][240/308], lr: 0.00010	Time 0.438 (0.521)	Data 0.000 (0.079)	Loss 1.4964 (1.3637)	Prec@1 40.000 (44.564)	Prec@5 80.000 (93.195)
Epoch: [6][260/308], lr: 0.00010	Time 0.438 (0.515)	Data 0.000 (0.073)	Loss 1.6823 (1.3617)	Prec@1 20.000 (45.057)	Prec@5 80.000 (93.410)
Epoch: [6][280/308], lr: 0.00010	Time 0.438 (0.510)	Data 0.000 (0.068)	Loss 0.7425 (1.3590)	Prec@1 40.000 (44.769)	Prec@5 100.000 (93.381)
Epoch: [6][300/308], lr: 0.00010	Time 0.437 (0.506)	Data 0.000 (0.063)	Loss 1.1015 (1.3528)	Prec@1 40.000 (45.249)	Prec@5 100.000 (93.488)
Epoch: [7][0/308], lr: 0.00010	Time 19.345 (19.345)	Data 19.016 (19.016)	Loss 1.1764 (1.1764)	Prec@1 60.000 (60.000)	Prec@5 80.000 (80.000)
Epoch: [7][20/308], lr: 0.00010	Time 0.438 (1.344)	Data 0.000 (0.906)	Loss 1.8587 (1.2203)	Prec@1 40.000 (49.524)	Prec@5 100.000 (95.238)
Epoch: [7][40/308], lr: 0.00010	Time 0.438 (0.904)	Data 0.000 (0.464)	Loss 1.0087 (1.3147)	Prec@1 60.000 (44.878)	Prec@5 100.000 (93.171)
Epoch: [7][60/308], lr: 0.00010	Time 0.438 (0.753)	Data 0.000 (0.312)	Loss 1.8249 (1.2856)	Prec@1 60.000 (45.574)	Prec@5 100.000 (94.426)
Epoch: [7][80/308], lr: 0.00010	Time 0.438 (0.677)	Data 0.000 (0.235)	Loss 0.6985 (1.2885)	Prec@1 80.000 (47.654)	Prec@5 100.000 (93.333)
Epoch: [7][100/308], lr: 0.00010	Time 0.427 (0.630)	Data 0.000 (0.188)	Loss 1.2586 (1.3117)	Prec@1 40.000 (48.911)	Prec@5 100.000 (93.069)
Epoch: [7][120/308], lr: 0.00010	Time 0.438 (0.599)	Data 0.000 (0.157)	Loss 1.1783 (1.3058)	Prec@1 60.000 (49.091)	Prec@5 100.000 (93.388)
Epoch: [7][140/308], lr: 0.00010	Time 0.437 (0.577)	Data 0.000 (0.135)	Loss 1.5834 (1.3229)	Prec@1 40.000 (48.227)	Prec@5 80.000 (92.908)
Epoch: [7][160/308], lr: 0.00010	Time 0.438 (0.560)	Data 0.000 (0.118)	Loss 1.2333 (1.3338)	Prec@1 60.000 (48.571)	Prec@5 100.000 (93.168)
Epoch: [7][180/308], lr: 0.00010	Time 0.438 (0.547)	Data 0.000 (0.105)	Loss 1.1977 (1.3297)	Prec@1 40.000 (49.171)	Prec@5 80.000 (93.149)
Epoch: [7][200/308], lr: 0.00010	Time 0.438 (0.537)	Data 0.000 (0.095)	Loss 0.5851 (1.2979)	Prec@1 80.000 (49.751)	Prec@5 100.000 (93.532)
Epoch: [7][220/308], lr: 0.00010	Time 0.422 (0.528)	Data 0.000 (0.086)	Loss 1.3926 (1.2978)	Prec@1 40.000 (49.864)	Prec@5 80.000 (93.394)
Epoch: [7][240/308], lr: 0.00010	Time 0.438 (0.521)	Data 0.000 (0.079)	Loss 1.5332 (1.3021)	Prec@1 20.000 (49.627)	Prec@5 80.000 (93.527)
Epoch: [7][260/308], lr: 0.00010	Time 0.438 (0.515)	Data 0.000 (0.073)	Loss 1.1043 (1.3129)	Prec@1 60.000 (49.119)	Prec@5 100.000 (93.563)
Epoch: [7][280/308], lr: 0.00010	Time 0.437 (0.510)	Data 0.000 (0.068)	Loss 0.7431 (1.3064)	Prec@1 60.000 (49.324)	Prec@5 100.000 (93.665)
Epoch: [7][300/308], lr: 0.00010	Time 0.437 (0.506)	Data 0.000 (0.063)	Loss 1.5300 (1.3178)	Prec@1 20.000 (48.704)	Prec@5 80.000 (93.621)
Epoch: [8][0/308], lr: 0.00010	Time 19.361 (19.361)	Data 19.000 (19.000)	Loss 1.3660 (1.3660)	Prec@1 40.000 (40.000)	Prec@5 100.000 (100.000)
Epoch: [8][20/308], lr: 0.00010	Time 0.422 (1.343)	Data 0.000 (0.905)	Loss 2.4196 (1.2705)	Prec@1 40.000 (43.810)	Prec@5 60.000 (94.286)
Epoch: [8][40/308], lr: 0.00010	Time 0.438 (0.904)	Data 0.000 (0.463)	Loss 1.2210 (1.2300)	Prec@1 40.000 (44.878)	Prec@5 80.000 (94.146)
Epoch: [8][60/308], lr: 0.00010	Time 0.438 (0.753)	Data 0.000 (0.311)	Loss 1.8171 (1.2564)	Prec@1 40.000 (46.230)	Prec@5 80.000 (94.426)
Epoch: [8][80/308], lr: 0.00010	Time 0.438 (0.676)	Data 0.000 (0.235)	Loss 0.8153 (1.2665)	Prec@1 60.000 (46.667)	Prec@5 100.000 (94.568)
Epoch: [8][100/308], lr: 0.00010	Time 0.438 (0.630)	Data 0.000 (0.188)	Loss 1.2759 (1.2664)	Prec@1 40.000 (48.317)	Prec@5 100.000 (94.653)
Epoch: [8][120/308], lr: 0.00010	Time 0.438 (0.599)	Data 0.000 (0.157)	Loss 1.4108 (1.2967)	Prec@1 20.000 (48.430)	Prec@5 100.000 (94.050)
Epoch: [8][140/308], lr: 0.00010	Time 0.422 (0.577)	Data 0.000 (0.135)	Loss 0.5684 (1.2810)	Prec@1 80.000 (49.220)	Prec@5 100.000 (93.901)
Epoch: [8][160/308], lr: 0.00010	Time 0.437 (0.560)	Data 0.000 (0.118)	Loss 1.7510 (1.2554)	Prec@1 40.000 (50.683)	Prec@5 100.000 (93.913)
Epoch: [8][180/308], lr: 0.00010	Time 0.438 (0.547)	Data 0.000 (0.105)	Loss 0.7935 (1.2686)	Prec@1 60.000 (50.055)	Prec@5 100.000 (94.144)
Epoch: [8][200/308], lr: 0.00010	Time 0.438 (0.537)	Data 0.000 (0.095)	Loss 1.1527 (1.2725)	Prec@1 40.000 (49.751)	Prec@5 100.000 (94.328)
Epoch: [8][220/308], lr: 0.00010	Time 0.432 (0.528)	Data 0.000 (0.086)	Loss 0.7087 (1.2656)	Prec@1 60.000 (50.045)	Prec@5 100.000 (94.299)
